location,location_address,day,time,course,age,capacity,enrolled,status,price,total_classes,early_bird_price,early_bird_until,discount_note,note
板橋第一運動場,新北市板橋區,週四,16:45,幼兒體適能班,4-6 歲,6,0,招生中,450,12,,,,
板橋第一運動場,新北市板橋區,週四,17:45,兒童趣味跑步班,6-12 歲,10,0,招生中,450,12,,,,
台北田徑場,台北市松山區,週五,16:45,幼兒體適能班,4-6 歲,6,0,招生中,450,12,,,,
台北田徑場,台北市松山區,週五,17:45,兒童趣味跑步班,6-12 歲,10,0,招生中,450,12,,,,
台北田徑場,台北市松山區,週六,09:00,幼兒體適能班,4-6 歲,6,0,招生中,450,12,,,,
台北田徑場,台北市松山區,週六,10:00,兒童趣味跑步班,6-12 歲,10,0,招生中,450,12,,,,
